ThickTR[Min:0.2 Max:0.6 Step:0.133333333333]
ThickTL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBR[Min:0.2 Max:0.6 Step:0.133333333333]
Fillet[Min:0.5 Max:2.5 Step:0.666666666667]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Material:	ThickTR:	ThickTL:	ThickBL:	ThickBR:	Fillet:	K_xy:	K_y:	K_theta:	mass:
Aluminum 2219	0.200	0.200	0.200	0.200	0.500	512962176.000	519204256.000	51437305856.000	410589.706
Aluminum 2219	0.200	0.200	0.200	0.200	1.500	527129248.000	534414112.000	52844556288.000	413800.149
Aluminum 2219	0.200	0.200	0.200	0.200	2.500	552745344.000	560061184.000	55382204416.000	420221.036
Aluminum 2219	0.200	0.200	0.200	0.400	0.500	597064128.000	604528256.000	59882139648.000	415594.922
Aluminum 2219	0.200	0.200	0.200	0.400	1.500	611570176.000	620168960.000	61283233792.000	418805.365
Aluminum 2219	0.200	0.200	0.200	0.400	2.500	663163136.000	673420480.000	66505883648.000	425226.252
Aluminum 2219	0.200	0.200	0.200	0.600	0.500	630515136.000	638754816.000	63270273024.000	420656.297
Aluminum 2219	0.200	0.200	0.200	0.600	1.500	657672896.000	667467264.000	65947336704.000	423866.740
Aluminum 2219	0.200	0.200	0.200	0.600	2.500	696560192.000	707503040.000	69913059328.000	430287.627
Aluminum 2219	0.200	0.200	0.400	0.200	0.500	597984576.000	604616640.000	59949031424.000	415594.922
Aluminum 2219	0.200	0.200	0.400	0.200	1.500	614004800.000	622565632.000	61552693248.000	418805.365
Aluminum 2219	0.200	0.200	0.400	0.200	2.500	641821696.000	650451392.000	64273801216.000	425226.252
Aluminum 2219	0.200	0.200	0.400	0.400	0.500	668472320.000	677786944.000	66993397760.000	420581.438
Aluminum 2219	0.200	0.200	0.400	0.400	1.500	695709888.000	706341120.000	69740306432.000	423791.881
Aluminum 2219	0.200	0.200	0.400	0.400	2.500	755908096.000	768618112.000	75765170176.000	430212.768
Aluminum 2219	0.200	0.200	0.400	0.600	0.500	721751040.000	731560320.000	72309399552.000	425624.113
Aluminum 2219	0.200	0.200	0.400	0.600	1.500	716341952.000	727339648.000	71789510656.000	428834.556
Aluminum 2219	0.200	0.200	0.400	0.600	2.500	782619648.000	796322816.000	78504902656.000	435255.443
Aluminum 2219	0.200	0.200	0.600	0.200	0.500	619352832.000	626419136.000	62021222400.000	420656.297
Aluminum 2219	0.200	0.200	0.600	0.200	1.500	652466432.000	663018048.000	65478934528.000	423866.740
Aluminum 2219	0.200	0.200	0.600	0.200	2.500	710291968.000	720896448.000	71196008448.000	430287.627
Aluminum 2219	0.200	0.200	0.600	0.400	0.500	710004864.000	720098176.000	71148101632.000	425624.113
Aluminum 2219	0.200	0.200	0.600	0.400	1.500	723655936.000	733680192.000	72427601920.000	428834.556
Aluminum 2219	0.200	0.200	0.600	0.400	2.500	800371968.000	813572096.000	80200638464.000	435255.443
Aluminum 2219	0.200	0.200	0.600	0.600	0.500	747605696.000	758972736.000	74960863232.000	430648.088
Aluminum 2219	0.200	0.200	0.600	0.600	1.500	760847680.000	772109696.000	76143902720.000	433858.531
Aluminum 2219	0.200	0.200	0.600	0.600	2.500	826993920.000	841413120.000	82863521792.000	440279.418
Aluminum 2219	0.200	0.400	0.200	0.200	0.500	593914560.000	600739136.000	59544002560.000	415631.380
Aluminum 2219	0.200	0.400	0.200	0.200	1.500	612639744.000	621460352.000	61410684928.000	418841.823
Aluminum 2219	0.200	0.400	0.200	0.200	2.500	655022144.000	664551872.000	65658003456.000	425262.710
Aluminum 2219	0.200	0.400	0.200	0.400	0.500	743038592.000	751975168.000	74446200832.000	420636.596
Aluminum 2219	0.200	0.400	0.200	0.400	1.500	774127424.000	785397440.000	77557080064.000	423847.039
Aluminum 2219	0.200	0.400	0.200	0.400	2.500	826304896.000	839642048.000	82788704256.000	430267.926
Aluminum 2219	0.200	0.400	0.200	0.600	0.500	839365120.000	850249600.000	84060348416.000	425697.971
Aluminum 2219	0.200	0.400	0.200	0.600	1.500	866481536.000	881758016.000	87095025664.000	428908.414
Aluminum 2219	0.200	0.400	0.200	0.600	2.500	915438016.000	930034816.000	91728535552.000	435329.301
Aluminum 2219	0.200	0.400	0.400	0.200	0.500	666136128.000	674643456.000	66780065792.000	420617.896
Aluminum 2219	0.200	0.400	0.400	0.200	1.500	696892224.000	708133440.000	69857681408.000	423828.339
Aluminum 2219	0.200	0.400	0.400	0.200	2.500	754368192.000	766787008.000	75651670016.000	430249.226
Aluminum 2219	0.200	0.400	0.400	0.400	0.500	827953536.000	839873792.000	82963898368.000	425604.412
