DV Bounds:,Units: SI (m)
Thick13[Min:0.0005 Max:0.002 Step:0.0005]
Thick24[Min:0.0005 Max:0.002 Step:0.0005]
Fillet[Min:0.0004 Max:0.00175 Step:0.00045]
CornerSize: 0.0018
Substructure,ID,Material,K_xy,K_y,K_theta,mass,maxMises1,maxMises2,maxMises3,Thick13,Thick24,Fillet
Cross,1,Titanium Alpha-Beta,5242492928.000,5711630848.000,132476.188,0.181,56197132.000,53466812.000,555449600.000,0.050,0.050,0.040
Cross,2,Titanium Alpha-Beta,5436303872.000,6004744192.000,137845.562,0.183,44247188.000,56645732.000,492672544.000,0.050,0.050,0.085
Cross,3,Titanium Alpha-Beta,5686848512.000,6367858176.000,144836.188,0.185,41227252.000,59944968.000,532781344.000,0.050,0.050,0.130
Cross,4,Titanium Alpha-Beta,5999417856.000,6857595392.000,153990.203,0.190,43638144.000,65840704.000,586767616.000,0.050,0.050,0.175
Cross,5,Titanium Alpha-Beta,6892290560.000,7833837568.000,176984.141,0.195,50095120.000,67026360.000,553542784.000,0.050,0.100,0.040
Cross,6,Titanium Alpha-Beta,7074414080.000,8168302592.000,182566.703,0.197,49079232.000,67705872.000,536174272.000,0.050,0.100,0.085
Cross,7,Titanium Alpha-Beta,7317518336.000,8631477248.000,190468.344,0.200,49897912.000,75656416.000,564674816.000,0.050,0.100,0.130
Cross,8,Titanium Alpha-Beta,7625105408.000,9213376512.000,200664.906,0.204,51365524.000,78717632.000,612588416.000,0.050,0.100,0.175
Cross,9,Titanium Alpha-Beta,8324281344.000,9895503872.000,218909.812,0.211,61183656.000,72605336.000,675555840.000,0.050,0.150,0.040
Cross,10,Titanium Alpha-Beta,8499648000.000,10274253824.000,225161.891,0.213,61656628.000,76445160.000,688635712.000,0.050,0.150,0.085
Cross,11,Titanium Alpha-Beta,8738320384.000,10815758336.000,233970.172,0.216,62370228.000,83328160.000,703922112.000,0.050,0.150,0.130
Cross,12,Titanium Alpha-Beta,9043815424.000,11509561344.000,245545.094,0.220,63363524.000,86842936.000,723977984.000,0.050,0.150,0.175
Cross,13,Titanium Alpha-Beta,9684412416.000,12156093440.000,262485.344,0.228,70458224.000,79664232.000,776608064.000,0.050,0.200,0.040
Cross,14,Titanium Alpha-Beta,9861143552.000,12614017024.000,269599.719,0.230,70726680.000,85746928.000,786282816.000,0.050,0.200,0.085
Cross,15,Titanium Alpha-Beta,10096495616.000,13246740480.000,279672.062,0.233,71221192.000,93788576.000,799454976.000,0.050,0.200,0.130
Cross,16,Titanium Alpha-Beta,10404511744.000,14066108416.000,292810.906,0.237,71939032.000,97431136.000,814698112.000,0.050,0.200,0.175
Cross,17,Titanium Alpha-Beta,6895374336.000,7839953920.000,177020.250,0.195,50132776.000,68075800.000,558775488.000,0.100,0.050,0.040
Cross,18,Titanium Alpha-Beta,7078209536.000,8176529920.000,182689.078,0.197,48936948.000,67364736.000,534578400.000,0.100,0.050,0.085
